STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407982543 GHz,
TABLE,Region GERANDO_SISTEMA,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.000472,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,3853332
CPU_CLK_UNHALTED_CORE,FIXC1,1769323
CPU_CLK_UNHALTED_REF,FIXC2,1590542
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,11700
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,1355416
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region GERANDO_SISTEMA,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.0005,
Runtime unhalted [s],0.0005,
Clock [MHz],3791.0485,
CPI,0.4592,
DP MFLOP/s,2919.9447,
AVX DP MFLOP/s,0,
Packed MUOPS/s,24.7773,
Scalar MUOPS/s,2870.3901,
Vectorization ratio,0.8558,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407982543 GHz,
TABLE,Region SOLUCAO_SISTEMA,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.000003,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,21907
CPU_CLK_UNHALTED_CORE,FIXC1,22234
CPU_CLK_UNHALTED_REF,FIXC2,20022
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,15
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,766
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region SOLUCAO_SISTEMA,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],3.417855e-06,
Runtime unhalted [s],6.524094e-06,
Clock [MHz],3784.4913,
CPI,1.0149,
DP MFLOP/s,232.8946,
AVX DP MFLOP/s,0,
Packed MUOPS/s,4.3887,
Scalar MUOPS/s,224.1172,
Vectorization ratio,1.9206,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407982543 GHz,
TABLE,Region CALCULO_RESIDUO,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.000303,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,2450808
CPU_CLK_UNHALTED_CORE,FIXC1,1129092
CPU_CLK_UNHALTED_REF,FIXC2,1014022
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,495016
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region CALCULO_RESIDUO,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.0003,
Runtime unhalted [s],0.0003,
Clock [MHz],3794.7163,
CPI,0.4607,
DP MFLOP/s,1636.3619,
AVX DP MFLOP/s,0,
Packed MUOPS/s,0,
Scalar MUOPS/s,1636.3619,
Vectorization ratio,0,
