STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.408035328 GHz,
TABLE,Region GERANDO_SISTEMA,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.001028,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,8551175
CPU_CLK_UNHALTED_CORE,FIXC1,3876334
CPU_CLK_UNHALTED_REF,FIXC2,3484396
L2_TRANS_ALL_REQUESTS,PMC0,22795
L2_RQSTS_MISS,PMC1,3012
TABLE,Region GERANDO_SISTEMA,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.0010,
Runtime unhalted [s],0.0011,
Clock [MHz],3791.3840,
CPI,0.4533,
L2 request rate,0.0027,
L2 miss rate,0.0004,
L2 miss ratio,0.1321,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.408035328 GHz,
TABLE,Region SOLUCAO_SISTEMA,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000003,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,21817
CPU_CLK_UNHALTED_CORE,FIXC1,21358
CPU_CLK_UNHALTED_REF,FIXC2,19454
L2_TRANS_ALL_REQUESTS,PMC0,1787
L2_RQSTS_MISS,PMC1,551
TABLE,Region SOLUCAO_SISTEMA,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],3.419565e-06,
Runtime unhalted [s],6.266954e-06,
Clock [MHz],3741.5862,
CPI,0.9790,
L2 request rate,0.0819,
L2 miss rate,0.0253,
L2 miss ratio,0.3083,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.408035328 GHz,
TABLE,Region CALCULO_RESIDUO,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000692,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,5439152
CPU_CLK_UNHALTED_CORE,FIXC1,2362030
CPU_CLK_UNHALTED_REF,FIXC2,2126308
L2_TRANS_ALL_REQUESTS,PMC0,9099
L2_RQSTS_MISS,PMC1,2709
TABLE,Region CALCULO_RESIDUO,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.0007,
Runtime unhalted [s],0.0007,
Clock [MHz],3785.8493,
CPI,0.4343,
L2 request rate,0.0017,
L2 miss rate,0.0005,
L2 miss ratio,0.2977,
