64 1230.5652 612.0946
100 1555.2727 775.0529
128 1787.8626 891.6094
200 2188.2137 1092.2864
256 2165.6581 1081.4209
512 2714.1756 1356.2049
600 2739.7573 1369.1180
900 2937.1146 1468.0136
1024 3043.0714 1521.0406
2000 3241.5224 1620.4911
3000 3233.7516 1616.6962
4096 3314.9628 1657.3465
6000 3278.0706 1638.9442
7000 3308.6118 1654.2271
10000 3373.5380 1686.7128
50000 3323.1470 1661.5624
100000 3326.1747 1663.0818
1000000 3342.1520 1671.0753
10000000 3294.0405 1647.0202
100000000 3364.3909 168 2.1954
