STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.408054404 GHz,
TABLE,Region GERANDO_SISTEMA,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.003644,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,29906180
CPU_CLK_UNHALTED_CORE,FIXC1,13498670
CPU_CLK_UNHALTED_REF,FIXC2,12138300
L2_TRANS_ALL_REQUESTS,PMC0,96446
L2_RQSTS_MISS,PMC1,25198
TABLE,Region GERANDO_SISTEMA,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.0036,
Runtime unhalted [s],0.0040,
Clock [MHz],3790.0037,
CPI,0.4514,
L2 request rate,0.0032,
L2 miss rate,0.0008,
L2 miss ratio,0.2613,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.408054404 GHz,
TABLE,Region SOLUCAO_SISTEMA,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000003,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,21802
CPU_CLK_UNHALTED_CORE,FIXC1,21293
CPU_CLK_UNHALTED_REF,FIXC2,20164
L2_TRANS_ALL_REQUESTS,PMC0,1578
L2_RQSTS_MISS,PMC1,456
TABLE,Region SOLUCAO_SISTEMA,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],3.447171e-06,
Runtime unhalted [s],6.247846e-06,
Clock [MHz],3598.8744,
CPI,0.9767,
L2 request rate,0.0724,
L2 miss rate,0.0209,
L2 miss ratio,0.2890,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.408054404 GHz,
TABLE,Region CALCULO_RESIDUO,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.002269,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,18984620
CPU_CLK_UNHALTED_CORE,FIXC1,8489222
CPU_CLK_UNHALTED_REF,FIXC2,7630796
L2_TRANS_ALL_REQUESTS,PMC0,19321
L2_RQSTS_MISS,PMC1,6431
TABLE,Region CALCULO_RESIDUO,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.0023,
Runtime unhalted [s],0.0025,
Clock [MHz],3791.4433,
CPI,0.4472,
L2 request rate,0.0010,
L2 miss rate,0.0003,
L2 miss ratio,0.3329,
